trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|sasdasdasda
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|Tournament Participants
trp_tournament_participants_pl|Tournament Participants
trp_tutorial_maceman|Maceman
trp_tutorial_maceman_pl|Maceman
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archer
trp_tutorial_swordsman|Swordsman
trp_tutorial_swordsman_pl|Swordsman
trp_novice_fighter|Novice Fighter
trp_novice_fighter_pl|Novice Fighters
trp_regular_fighter|Regular Fighter
trp_regular_fighter_pl|Regular Fighters
trp_veteran_fighter|Veteran Fighter
trp_veteran_fighter_pl|Veteran Fighters
trp_champion_fighter|Champion Fighter
trp_champion_fighter_pl|Champion Fighters
trp_arena_training_fighter_1|Novice Fighter
trp_arena_training_fighter_1_pl|Novice Fighters
trp_arena_training_fighter_2|Novice Fighter
trp_arena_training_fighter_2_pl|Novice Fighters
trp_arena_training_fighter_3|Regular Fighter
trp_arena_training_fighter_3_pl|Regular Fighters
trp_arena_training_fighter_4|Regular Fighter
trp_arena_training_fighter_4_pl|Regular Fighters
trp_arena_training_fighter_5|Regular Fighter
trp_arena_training_fighter_5_pl|Regular Fighters
trp_arena_training_fighter_6|Veteran Fighter
trp_arena_training_fighter_6_pl|Veteran Fighters
trp_arena_training_fighter_7|Veteran Fighter
trp_arena_training_fighter_7_pl|Veteran Fighters
trp_arena_training_fighter_8|Veteran Fighter
trp_arena_training_fighter_8_pl|Veteran Fighters
trp_arena_training_fighter_9|Champion Fighter
trp_arena_training_fighter_9_pl|Champion Fighters
trp_arena_training_fighter_10|Champion Fighter
trp_arena_training_fighter_10_pl|Champion Fighters
trp_cattle|Cattle
trp_cattle_pl|Cattle
trp_1794|Settings
trp_1794_pl|Settings
trp_farmer|Farmer
trp_farmer_pl|Farmers
trp_townsman|Townsman
trp_townsman_pl|Townsmen
trp_watchman|Poor Nobleman
trp_watchman_pl|Poor Noblemen
trp_caravan_guard|Mercenary
trp_caravan_guard_pl|Mercenaries
trp_mercenary_przemytnik|Smuggler
trp_mercenary_przemytnik_pl|Smugglers
trp_mercenary_golota2|Poor Nobleman
trp_mercenary_golota2_pl|Poor Noblemen
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_swadian_recruit|Swadian Recruit
trp_swadian_recruit_pl|Swadian Recruits
trp_swadian_militia|Swadian Militia
trp_swadian_militia_pl|Swadian Militia
trp_swadian_footman|Swadian Footman
trp_swadian_footman_pl|Swadian Footmen
trp_swadian_infantry|Swadian Infantry
trp_swadian_infantry_pl|Swadian Infantry
trp_swadian_sergeant|Swadian Sergeant
trp_swadian_sergeant_pl|Swadian Sergeants
trp_swadian_skirmisher|Swadian Skirmisher
trp_swadian_skirmisher_pl|Swadian Skirmishers
trp_swadian_crossbowman|Swadian Crossbowman
trp_swadian_crossbowman_pl|Swadian Crossbowmen
trp_swadian_sharpshooter|Swadian Sharpshooter
trp_swadian_sharpshooter_pl|Swadian Sharpshooters
trp_swadian_man_at_arms|Swadian Man at Arms
trp_swadian_man_at_arms_pl|Swadian Men at Arms
trp_swadian_knight|Swadian Knight
trp_swadian_knight_pl|Swadian Knights
trp_swadian_messenger|Swadian Messenger
trp_swadian_messenger_pl|Swadian Messengers
trp_swadian_deserter|Swadian Deserter
trp_swadian_deserter_pl|Swadian Deserters
trp_swadian_prison_guard|Prison Guard
trp_swadian_prison_guard_pl|Prison Guards
trp_swadian_castle_guard|Castle Guard
trp_swadian_castle_guard_pl|Castle Guards
trp_vaegir_recruit|Vaegir Recruit
trp_vaegir_recruit_pl|Vaegir Recruits
trp_vaegir_footman|Vaegir Footman
trp_vaegir_footman_pl|Vaegir Footmen
trp_vaegir_skirmisher|Vaegir Skirmisher
